Permeability,GIAbsorption,BBB
5.8275063744922235,1,1
1.749689613000739,0,1
5.557382356942995,0,0
3.676108051418489,0,0
0.6402490129386997,1,0
1.0819633424838946,1,0
2.280817328075467,0,1
5.287663795246187,0,0
-0.4457069250969523,0,0
0.8319235945219425,1,0
0.453497105348323,1,1
0.045785302091385205,0,1
5.628162316327273,0,1
-0.18575263913607554,0,0
-1.3643641689762238,1,0
5.472266622574832,0,0
6.52168007836406,1,1
3.217711265572822,1,0
2.767601399075753,1,0
0.28634600263520316,0,0
-1.78473530683493,1,1
2.967193012250692,0,0
-0.4187589667398113,0,1
4.494842893115517,1,0
6.212928033384978,1,0
1.2519038095424104,1,0
0.7215420762509899,0,1
-1.5423975594397028,1,1
1.3925410877636613,1,0
-1.2361019322656421,0,0
-0.4722130856386486,1,0
-0.5733978087009892,0,1
0.34672566462708554,1,0
1.4819652066421476,1,0
0.5868873973349116,1,1
3.3744357580249638,0,0
-0.6835950904539643,1,1
0.3879648756065972,1,1
5.653477054565715,0,0
1.3790476871396633,1,1
-1.2760961358070673,0,1
-0.8949321295725241,1,0
4.428858374401571,0,0
4.754895611417256,1,1
-0.6395832934016858,0,0
4.677810146633119,0,1
-1.2049366757956674,1,1
0.837247843662047,0,1
0.4203650543298645,0,0
4.3825414413658565,1,1
-1.6549752817619945,0,1
-0.7662157601286868,1,1
3.8604079324329046,1,1
-1.4090529563696017,0,1
3.9395739791908433,1,0
5.905113287042084,1,0
5.4367354993962955,0,1
4.177908350289003,1,1
5.561661727751409,0,0
0.8017621474151744,0,0
-0.2419339757621617,1,0
4.10229645383161,1,1
2.3493551969570436,1,0
6.937056322706116,0,1
-0.7045793718364615,1,1
-0.9720874170206482,1,1
1.042794922292102,1,0
4.317386992687752,1,0
2.886639297538152,0,0
5.4922358825358435,0,1
-1.7537810004048786,0,1
-1.8505555572334464,1,0
-0.1316117649307107,1,1
0.9548635757869297,0,0
-1.5573931232413196,0,1
2.170316853466341,0,0
5.840843726769776,1,0
1.89411546703007,0,1
0.45975001366559587,1,0
-0.8756289871643548,1,1
0.7388966005960134,1,0
1.7778765073489131,1,0
-1.478259738399573,0,0
1.6236116496145971,1,1
0.9853243627116881,0,1
2.1723255512557964,0,0
2.0566706529187035,0,1
-0.5161309826797615,0,1
2.370308997661283,0,0
3.115982109425836,1,1
-0.39417007746840804,1,0
3.177494981484684,0,0
-1.8516711209993217,1,0
2.049125745554206,1,1
3.3865326044270097,1,0
1.8661553997144296,0,1
6.183358617753916,1,1
3.5741473069979435,1,1
1.509885870489199,0,0
2.0392497725931342,0,0
