NumValence,MaxDegree,BERT_0,BERT_1,BERT_2,BERT_3,BERT_4
59,4,0.833429103230072,-0.7801892696880368,-0.7530234091453227,-0.5458989542812116,0.4881454701514134
60,2,0.8024339575028727,0.5947059197702871,-0.5785826446473794,-0.1623013978943728,-0.9490436348552103
117,4,0.33198057264265013,0.9930344473271906,0.9976365020971467,-0.8160932873524567,-0.4453748306234673
42,1,-0.41398592619305363,-0.24841047183664355,-0.5306834432884251,0.029101799041629794,-0.2506900019620517
13,3,-0.687767309110233,0.4007607693738142,0.35156421651764114,0.9124347371507822,-0.8569366559627718
35,2,-0.8706577496686145,-0.8139204167931324,-0.7391079736158888,0.3654515833407588,0.7535102229126176
73,2,0.8306173060360333,0.6518842316261271,-0.5982906483246362,-0.12890025355358325,-0.5932980347412673
82,3,-0.9067005995888748,-0.966039594339718,0.10551577193171369,-0.8143555844323345,0.4439891053353926
117,1,-0.5878183031492148,-0.724650529569542,0.1390224887346121,0.28021103325252716,-0.5772654421314789
33,1,-0.6356538514054821,0.09865435764128239,0.07541716579658875,0.21928592514372935,0.1769220408797385
94,4,-0.1733064145820007,-0.042581368239392514,0.19785007331832483,-0.5949272334596745,0.40914273474840157
37,3,-0.7166881416758406,-0.34119113634628384,0.17370176666721227,0.597347372843452,0.22892483175453027
43,2,-0.44547970522516467,0.8655880468625612,0.5524290789614086,-0.3060882451827571,-0.6982299009683044
108,3,-0.8153741471022404,-0.6088349157950106,-0.9012994645077925,-0.05658459953734085,-0.6924737257485511
22,3,-0.5722931410221639,0.4630860006236479,0.2537982805327825,-0.24993300991514045,-0.23558283847044614
20,2,-0.9031221346542992,0.09149042192509249,-0.02937354225569444,-0.8786289692293383,-0.6276348819407369
104,3,0.23893398697272805,0.3923795580688456,0.687234728069688,-0.6769143612407822,0.13089574222335676
98,2,0.38740085738415564,-0.43747966604840327,0.2342328284927746,-0.13980572753048293,-0.9971059098979009
104,4,-0.16145917708763546,0.42091100020529915,-0.7926268973584494,0.18599365340569896,0.42767448167776556
60,2,0.11198210411565346,0.7115424016151048,-0.29778229904282916,0.4994829058139001,0.7525005025264138
11,2,-0.5501376275204262,0.6959949920905191,0.6157655936201785,0.7837964281654335,0.5895816260889206
19,1,0.33934110403188544,0.27875889009010013,-0.5431880120933927,-0.8823948217594584,-0.9986156183234616
54,3,0.7504304826217887,0.28078329281502934,0.2633642963130385,-0.9782818437007019,0.5214542615963607
63,2,-0.8164101496999843,-0.05111290142870928,-0.8759959628486,0.2588295989921239,-0.6591268784017839
40,1,-0.5286409368319254,0.2673367438284713,0.791912717568805,0.4576488712133491,-0.8202574905245614
116,4,-0.026360606015537025,0.10066519972489041,0.4780647483263343,-0.6665176761663227,-0.9947240950482219
40,3,-0.6527961478054503,-0.9458713267482806,0.29838030696317386,-0.11088936019741658,0.6789135470797789
37,3,0.4991426467611737,0.5153568490440963,0.11150247485720599,0.362354508590083,0.2614809701152405
60,1,-0.8423955744457583,-0.6875957551953218,0.4671671334186196,0.3423441772985105,0.9304132223626453
77,3,-0.014332930864958016,0.4347884322887412,-0.24211866522918202,-0.9206752482848897,0.6267937158841088
100,3,-0.6079358542393001,-0.9976413066076149,0.5333502137822388,0.07538653125201566,-0.15172585971185626
54,4,0.05396391687514046,0.16188530664948297,-0.09515579989503764,0.2731775787307269,-0.8515195758784784
120,4,-0.2657723919240831,0.38300381985992615,0.6723865132248148,0.22219022478655104,0.880877805996573
58,3,0.762579457684853,0.1431667299302808,0.13357069337957728,0.3822025146298751,0.30219381235630904
88,3,0.10134921002554087,0.3342706724301665,0.08929219143442535,-0.4695320150805218,0.8803014122227715
35,3,-0.17015602597618917,0.7257619777754947,0.8137515185446023,0.1315202877453261,0.5421572896351594
71,2,0.6906910836230535,-0.6112686544890216,-0.7258925762104713,-0.6714126434472472,0.35612963904199524
37,2,-0.9745679374055116,-0.5342543649953884,-0.929468870172762,-0.2162005505788429,-0.06497201540256858
17,4,0.9825178008985931,0.4478937975765609,0.27326018472374325,0.08045462500645462,-0.8458581087392705
47,2,-0.7784172062074346,0.22552909387987885,-0.6906112286995236,-0.06786463699955725,0.8195560565342483
91,4,-0.4675124347412196,-0.5962380117862032,0.7660588210999228,0.8299827983469268,0.04138854513742851
76,3,-0.06871282243308263,0.2693383747945719,-0.4508822398400145,0.88593242847738,0.528183651608753
33,1,0.36437755136338956,0.6658767702643988,0.6594437028121449,-0.8189735725748042,-0.5127483967036595
59,3,0.5913180032453182,0.5200564863967962,-0.5280825565514706,-0.6245461930390237,-0.012967031036685173
18,2,-0.43064495812404413,0.49859237706404724,0.8751631400150834,0.6170848536665967,-0.2683425330724376
93,2,-0.5794634158776955,-0.5094371213749442,0.979210086384785,-0.8453895476745241,-0.057788038104878536
32,4,-0.5785127202895728,0.8301130507038013,0.6690036133162061,0.18510814285478627,0.009279124553354778
24,3,0.2522801586017682,-0.19524054938000002,0.5871926863624701,0.5223890002864131,-0.19200684565701365
85,1,0.21770891293913763,-0.3806071269440314,-0.15431434224938934,-0.10063112370288296,-0.251888720955465
86,2,0.3461810698761474,0.06802693999958365,0.7929491880529436,0.3106274889196057,0.8531835167684088
116,4,0.393844392999565,0.5543714400770312,0.7157554703187321,-0.19677154412483566,0.25987180197760273
